Article/Prefix,Word,English Translation,Example Sentence,English Translation (Sentence),POS
der,"Sonderpreis, -e",Special price,"Da Sie ein treuer Kunde sind, können wir Ihnen für dieses Modell einen Sonderpreis anbieten.","Since you are a loyal customer, we can offer you a special price for this model.",N
der,"Sonderstatus, -",Special status,Als langjähriger Partner genießt die Firma bei uns einen gewissen Sonderstatus.,"As a long-standing partner, the company enjoys a certain special status with us.",N
der,"Sonnenuntergang, -ä-e",Sunset,Wir saßen am Strand und beobachteten gemeinsam den wunderschönen Sonnenuntergang.,We sat on the beach and watched the beautiful sunset together.,N
,sorgfältig,carefully,"Bitte lesen Sie sich die Unterlagen sorgfältig durch, bevor Sie Ihre Unterschrift leisten.",Please read the documents carefully before signing them.,Adj
das,"Sortiment, -e",Assortment,Unser Sortiment umfasst eine große Auswahl an ökologisch produzierten Lebensmitteln.,Our product range includes a wide selection of organically produced foods.,N
,sozial,social,Er engagiert sich in seiner Freizeit sehr für soziale Projekte in seinem Stadtviertel.,"In his free time, he is very involved in social projects in his neighborhood.",Adj
die,"Sozialabgabe, -n",Social security contribution,Die Sozialabgaben werden in Deutschland anteilig vom Arbeitgeber und Arbeitnehmer getragen.,"In Germany, social security contributions are shared proportionally by the employer and the employee.",N
der,"Sozialdienst, -e",Social service,Der Sozialdienst im Krankenhaus berät Patienten bei Fragen zur weiteren Pflege nach der Entlassung.,The social service department in the hospital advises patients on questions regarding further care after discharge.,N
das,"Sozialgesetzbuch (SGB), -",Social Code (SGB),Die rechtlichen Grundlagen für die Sozialversicherung sind im Sozialgesetzbuch (SGB) festgelegt.,The legal basis for social insurance is laid down in the Social Code (SGB).,N
die,"Sozialhilfe, -",Social assistance,"Menschen, die ihren Lebensunterhalt nicht selbst bestreiten können, haben Anspruch auf Sozialhilfe.",People who cannot support themselves are entitled to social assistance.,N
die,"Sozialleistung, -en",Social benefit,Zu den staatlichen Sozialleistungen gehören unter anderem das Kindergeld und das Wohngeld.,"State social benefits include, among other things, child benefit and housing benefit.",N
der,"Sozialplan, -ä-e",Social plan,"Nach der Betriebsschließung wurde ein Sozialplan erstellt, um die betroffenen Mitarbeiter abzusichern.","Following the closure of the business, a social plan was drawn up to protect the affected employees.",N
der,"Sozialstaat, -en",Welfare state,"Deutschland versteht sich als Sozialstaat, der seine Bürger in Notlagen finanziell unterstützt.",Germany sees itself as a welfare state that provides financial support to its citizens in times of need.,N
das,"Sozialstaatsprinzip, -ien",Social welfare state principle,Das Sozialstaatsprinzip ist im Grundgesetz verankert und verpflichtet den Staat zu sozialer Gerechtigkeit.,The social welfare state principle is enshrined in the Basic Law and obliges the state to provide social justice.,N
die,"Sozialversicherung, -en",Social insurance,"Die gesetzliche Sozialversicherung umfasst die Kranken-, Renten-, Arbeitslosen- und Pflegeversicherung.","The statutory social insurance system includes health, pension, unemployment and long-term care insurance.",N
der,"Sozialversicherungsausweis, -e",Social security card,Bei Aufnahme einer neuen Beschäftigung müssen Sie dem Arbeitgeber Ihren Sozialversicherungsausweis vorlegen.,"When starting a new job, you must present your social security card to your employer.",N
,sozialversicherungspflichtig,subject to social security contributions,Ab einem bestimmten monatlichen Einkommen ist eine Beschäftigung in Deutschland sozialversicherungspflichtig.,Employment in Germany becomes subject to social security contributions above a certain monthly income level.,Adj
die,"Spannung, -en",Tension,Vor der Bekanntgabe der Wahlergebnisse herrschte im ganzen Saal eine große Spannung.,There was great tension throughout the hall before the election results were announced.,N
der/die,"Spediteur/in, -e/-nen",Freight forwarder,"Der Spediteur ist dafür verantwortlich, dass die Waren sicher und termingerecht geliefert werden.",The freight forwarder is responsible for ensuring that the goods are delivered safely and on time.,N
die,"Spedition, -en",Freight forwarding,"Wir haben eine Spedition beauftragt, um unsere Möbel in die neue Wohnung zu transportieren.",We hired a shipping company to transport our furniture to the new apartment.,N
der,"Spender, -",Donors,Der Seifenspender im Badezimmer muss dringend wieder aufgefüllt werden.,The soap dispenser in the bathroom urgently needs to be refilled.,N
,sperren,lock out,Die Polizei musste die Straße wegen eines schweren Unfalls für mehrere Stunden komplett sperren.,The police had to completely close the road for several hours due to a serious accident.,V
die,"Sperrzeit, -en",Curfew: -s,"Wenn man selbst kündigt, bekommt man beim Arbeitsamt oft eine Sperrzeit für das Arbeitslosengeld.","If you resign, you will often receive a waiting period for unemployment benefits from the employment office.",N
die,"Spitze: an der Spitze stehen, -n",Top: to be at the top,Unser Unternehmen steht seit Jahren an der Spitze der Branche für erneuerbare Energien.,Our company has been at the forefront of the renewable energy industry for years.,N
der,"Spitzentag, -e",Peak day,Der Samstag vor Weihnachten ist im Einzelhandel traditionell ein absoluter Spitzentag.,The Saturday before Christmas is traditionally an absolute peak day for retail.,N
,spontan,spontaneous,"Wir haben uns ganz spontan dazu entschlossen, am Wochenende einen Ausflug in die Berge zu machen.",We spontaneously decided to take a trip to the mountains this weekend.,Adv
die,"Sprache: zur Sprache kommen, -n",Language: to come up in conversation,In der Besprechung kam auch das Problem der steigenden Materialkosten zur Sprache.,The meeting also addressed the problem of rising material costs.,N
das,"Sprichwort, -ö-er",Proverb,Ein bekanntes deutsches Sprichwort besagt: 'Morgenstund hat Gold im Mund.',A well-known German proverb says: 'The early bird catches the worm.',N
die,"Spülmaschine, -n",Dishwasher,"Es ist sehr praktisch, dass wir im Büro eine Spülmaschine für das schmutzige Geschirr haben.",It's very convenient that we have a dishwasher in the office for the dirty dishes.,N
,stabil,stable,Trotz der wirtschaftlichen Krise ist die Lage unseres Unternehmens erfreulicherweise stabil geblieben.,"Despite the economic crisis, the situation of our company has thankfully remained stable.",Adv
,städtisch,urban,"Die städtischen Verkehrsbetriebe planen, das Netz der Straßenbahnen in den Außenbezirken zu erweitern.",The city's public transport company plans to expand the tram network in the outer districts.,Adj
der,"Stand, -e",Stand,Auf der Messe war unser Stand immer gut besucht und wir konnten viele neue Kontakte knüpfen.,Our stand was always well-attended at the trade fair and we were able to make many new contacts.,N
der,"Standard, -s",Standard,Die Qualität unserer Produkte entspricht den höchsten internationalen Standards.,The quality of our products meets the highest international standards.,N
,standardmäßig,By default,"Die Software ist standardmäßig so eingestellt, dass sie alle 10 Minuten eine Sicherungskopie erstellt.",The software is set by default to create a backup every 10 minutes.,Adj
der,"Standdienst, -e",Stand duty,"Wer übernimmt am Donnerstagnachmittag den Standdienst auf der Karrieremesse""","Who will be manning the booth at the career fair on Thursday afternoon""",N
der,"Standort, -e",Location,Die Wahl des richtigen Standorts ist für den Erfolg eines neuen Geschäfts von entscheidender Bedeutung.,Choosing the right location is crucial for the success of a new business.,N
der,"Standplatz, -ä-e",Standing place,Wir müssen frühzeitig einen Standplatz für unseren Verkaufswagen auf dem Wochenmarkt reservieren.,We need to reserve a stall for our sales van at the weekly market well in advance.,N
die,"Stärke, -n",Strength,Eine große Stärke unserer Abteilung ist der starke Zusammenhalt unter den Kollegen.,A major strength of our department is the strong cohesion among colleagues.,N
die,"Startbahn, -en",Runway,Das Flugzeug beschleunigte auf der Startbahn und hob pünktlich in Richtung New York ab.,The plane accelerated on the runway and took off on time towards New York.,N
,stationär,stationary,Der Patient muss für einige Tage stationär im Krankenhaus behandelt werden.,The patient will need to be treated as an inpatient in the hospital for a few days.,Adj
die,"Stätte, -n",Site,Diese historische Stätte zieht jedes Jahr Tausende von Touristen aus der ganzen Welt an.,This historical site attracts thousands of tourists from all over the world every year.,N
der,"Status, -",Status,Über das Online-Portal können Sie jederzeit den aktuellen Status Ihrer Bestellung abrufen.,You can check the current status of your order at any time via the online portal.,N
das,"Statussymbol, -e",Status symbol,Für viele Menschen ist ein teures Auto immer noch ein wichtiges Statussymbol.,"For many people, an expensive car is still an important status symbol.",N
die,"Stellenanzeige, -n",Job advertisement,Ich habe Ihre Stellenanzeige in der Zeitung gelesen und möchte mich hiermit bewerben.,I read your job advertisement in the newspaper and would like to apply.,N
die,"Stellenbörse, -n",Job board,In der Online-Stellenbörse der Arbeitsagentur finden Sie täglich neue Jobangebote.,You can find new job offers daily in the online job portal of the employment agency.,N
das,"Stellengesuch, -e",Job application,"Er hat ein Stellengesuch im Internet veröffentlicht, um eine neue Herausforderung als Buchhalter zu finden.",He posted a job advertisement online in order to find a new challenge as an accountant.,N
das,"Stellenportal, -e",Job portal,"Viele Unternehmen nutzen spezialisierte Stellenportale, um qualifizierte Fachkräfte zu finden.",Many companies use specialized job portals to find qualified professionals.,N
die,"Stellensuche, -n",Job search,Die Stellensuche kann manchmal viel Zeit und Geduld in Anspruch nehmen.,Finding a job can sometimes take a lot of time and patience.,N
,stellvertretend,representative,Stellvertretend für das gesamte Team möchte ich mich für die gute Zusammenarbeit bedanken.,"On behalf of the entire team, I would like to thank you for the excellent cooperation.",Adj
,stetig,constantly,Die Nachfrage nach unseren Produkten ist in den letzten Jahren stetig gewachsen.,The demand for our products has grown steadily in recent years.,Adj
das,"Steuerbüro, -s",Tax office,Das Steuerbüro unterstützt uns bei der Erstellung des Jahresabschlusses und der Steuererklärung.,The tax office assists us in preparing the annual financial statements and the tax return.,N
die,"Steuererklärung, -en",Tax return,Einmal im Jahr muss jeder Bürger seine Steuererklärung beim Finanzamt einreichen.,Every citizen must submit their tax return to the tax office once a year.,N
die,"Steuerklasse (StKl), -n",Tax class (StKl),Die Wahl der richtigen Steuerklasse kann einen großen Einfluss auf das Nettoeinkommen haben.,Choosing the right tax bracket can have a significant impact on net income.,N
,steuerlich,tax,"Es gibt verschiedene Möglichkeiten, bestimmte Ausgaben steuerlich geltend zu machen.",There are various ways to claim certain expenses for tax purposes.,Adj
die,"Stichprobe, -n",Sample,Bei der Qualitätskontrolle wird nur eine Stichprobe der produzierten Teile genau untersucht.,"During quality control, only a sample of the produced parts is examined closely.",N
,stickig,stuffy,In dem kleinen Besprechungszimmer wurde die Luft nach einer Stunde sehr stickig.,The air in the small meeting room became very stuffy after an hour.,Adj
die,"Stiftung, -en",Foundation,Die Stiftung fördert Projekte im Bereich Bildung und Umweltschutz mit großzügigen Geldbeträgen.,The foundation supports projects in the fields of education and environmental protection with generous sums of money.,N
das,"Stillschweigen, -",Silence,Über die Details der Vertragsverhandlungen wurde zwischen den Parteien Stillschweigen vereinbart.,The parties agreed to maintain confidentiality regarding the details of the contract negotiations.,N
der,"Stillstand, -ä-e",Standstill,Ein technischer Defekt führte zu einem kompletten Stillstand der Produktion für mehrere Stunden.,A technical defect led to a complete production standstill for several hours.,N
die,"Stolpergefahr, -",Trip hazard,"Bitte räumen Sie die Kabel weg, da sie eine erhebliche Stolpergefahr im Flur darstellen.","Please remove the cables, as they pose a significant tripping hazard in the hallway.",N
,stolpern,stumble,"Pass auf, dass du nicht über die lose Teppichkante im Eingangsbereich stolperst.",Be careful not to trip over the loose carpet edge in the entrance area.,V
die,"Straßenverkehrsordnung, -en",Road Traffic Regulations,"Alle Verkehrsteilnehmer sind verpflichtet, sich an die Regeln der Straßenverkehrsordnung zu halten.",All road users are obliged to comply with the rules of the road traffic regulations.,N
die,"Strategie, -n",Strategy,"Das Management hat eine neue Strategie entwickelt, um die Marktführerschaft zu behaupten.",Management has developed a new strategy to maintain market leadership.,N
,strukturieren,structure,"Wir müssen den Projektablauf besser strukturieren, um die Termine einhalten zu können.",We need to better structure the project workflow in order to meet the deadlines.,V
,strukturiert,structured,Sie arbeitet sehr strukturiert und behält auch in stressigen Situationen stets den Überblick.,"She works in a very structured manner and always maintains an overview, even in stressful situations.",Adj
,stückeln,piece up,"Man kann den großen Betrag auch in kleinere Raten stückeln, um die Zahlung zu erleichtern.",You can also divide the large amount into smaller installments to make payment easier.,V
die,"Suche, -n",Seek,Wir befinden uns derzeit auf der Suche nach einem neuen Standort für unsere Lagerhalle.,We are currently looking for a new location for our warehouse.,N
die,"Suchmaschine, -n",Search engine,"Wenn ich etwas nicht weiß, benutze ich meistens eine Suchmaschine im Internet.","If I don't know something, I usually use a search engine on the internet.",N
das,"Suchmaschinenmarketing, -",Search engine marketing,Durch gezieltes Suchmaschinenmarketing können wir die Sichtbarkeit unserer Website deutlich erhöhen.,"Through targeted search engine marketing, we can significantly increase the visibility of our website.",N
,summieren,summing,Die Kosten für die Renovierung summieren sich am Ende auf einen beträchtlichen Betrag.,The renovation costs ultimately add up to a considerable sum.,V
der,"Support, -e",Support,"Wenn Sie Probleme mit der Software haben, wenden Sie sich bitte an unseren technischen Support.","If you have any problems with the software, please contact our technical support.",N
,systematisch,systematic,"Um den Fehler zu finden, müssen wir die gesamte Anlage systematisch untersuchen.","To find the fault, we need to systematically examine the entire system.",Adj
die,"Tabaksteuer, -n",Tobacco tax,Die Tabaksteuer ist eine wichtige Einnahmequelle für den Staatshaushalt.,Tobacco tax is an important source of revenue for the state budget.,N
,tabellarisch,tabular,Bitte reichen Sie Ihren Lebenslauf in tabellarischer Form zusammen mit den Zeugnissen ein.,Please submit your CV in tabular form along with your certificates.,Adj
das,"Tabu, -s",Taboo,"Über das Gehalt zu sprechen, ist in vielen deutschen Unternehmen immer noch ein Tabu.",Talking about salary is still taboo in many German companies.,N
der,"Tadel, -",Rebuke,"Trotz des kleinen Fehlers gab es vom Chef keinen Tadel, sondern eine konstruktive Rückmeldung.","Despite the minor mistake, the boss did not reprimand him, but instead gave constructive feedback.",N
die,"Tagesmutter, -ü-er",Childminder,"Da beide Eltern arbeiten, wird das Kind tagsüber von einer erfahrenen Tagesmutter betreut.","Since both parents work, the child is cared for during the day by an experienced nanny.",N
die,"Tagesordnung, -en",Agenda,"Bevor wir mit der Sitzung beginnen, möchte ich kurz die heutige Tagesordnung vorstellen.","Before we begin the meeting, I would like to briefly present today's agenda.",N
der,"Tagesordnungspunkt (TOP), -e",Agenda item (TOP),Wir kommen nun zu Tagesordnungspunkt drei: Die Planung der Weihnachtsfeier.,We now come to agenda item three: the planning of the Christmas party.,N
der,"Tarif, -e",Tariff,In der Metallindustrie werden die Löhne oft nach einem festen Tarif bezahlt.,"In the metal industry, wages are often paid according to a fixed tariff.",N
der,"Tarifvertrag, -ä-e",Collective agreement,Die Gewerkschaft handelt mit den Arbeitgebern regelmäßig einen neuen Tarifvertrag aus.,The union regularly negotiates a new collective agreement with the employers.,N
die,"Teamfähigkeit, -en",Teamwork skills,In unserer Abteilung legen wir großen Wert auf die Teamfähigkeit der neuen Mitarbeiter.,"In our department, we place great emphasis on the teamwork skills of new employees.",N
die,"Teamsitzung, -en",Team meeting,In der wöchentlichen Teamsitzung besprechen wir den aktuellen Stand unserer Projekte.,"In our weekly team meeting, we discuss the current status of our projects.",N
der/die,"Techniker/in, -/-nen",Technician,"Der Techniker kam vorbei, um den defekten Kopierer im Sekretariat zu reparieren.",The technician came by to repair the broken copier in the office.,N
der/die,"Teilzeitbeschäftigte, -n",Part-time employees,Das Unternehmen bietet flexible Arbeitszeitmodelle für Teilzeitbeschäftigte an.,The company offers flexible working time models for part-time employees.,N
die,"Teilzeitkraft, -ä-e",Part-time worker,Wir suchen für unseren Empfang eine freundliche Teilzeitkraft für 20 Stunden pro Woche.,We are looking for a friendly part-time receptionist for 20 hours per week.,N
die,"Textilie, -n",Textile,Diese Textilien bestehen zu 100 % aus Bio-Baumwolle und sind sehr angenehm zu tragen.,These textiles are made from 100% organic cotton and are very comfortable to wear.,N
der,"Thermosbecher, -",Thermos mug -,Ich nehme meinen Kaffee morgens immer in einem Thermosbecher mit zur Arbeit.,I always take my coffee to work in a thermos mug in the morning.,N
die,"Tierhaltung, -en",Animal husbandry,Eine artgerechte Tierhaltung ist für die Qualität der Fleischprodukte von großer Bedeutung.,Humane animal husbandry is of great importance for the quality of meat products.,N
die,"Tischlerei, -en",Carpentry,In der Tischlerei werden maßgefertigte Möbel aus hochwertigem Holz hergestellt.,The carpentry workshop produces custom-made furniture from high-quality wood.,N
die,"Tonne, -n",Barrel,Jedes Jahr werden in Deutschland Millionen Tonnen an Lebensmitteln weggeworfen.,Millions of tons of food are thrown away in Germany every year.,N
die,"Tragfähigkeit, -",Load-bearing capacity,Vor der Beladung des Regals muss die maximale Tragfähigkeit der Böden geprüft werden.,"Before loading the rack, the maximum load-bearing capacity of the shelves must be checked.",N
die,"Tropen, -",Tropics,In den Tropen herrscht ein feuchtwarmes Klima mit sehr viel Niederschlag.,The tropics have a hot and humid climate with a lot of rainfall.,N
die,"Tropeninsel, -n",Tropical island,"Viele Menschen träumen davon, ihren Urlaub auf einer einsamen Tropeninsel zu verbringen.",Many people dream of spending their vacation on a deserted tropical island.,N
die,"Türklinke, -n",Door handle,"Bitte fassen Sie die Türklinke nicht mit schmutzigen Händen an, da sie frisch lackiert wurde.","Please do not touch the door handle with dirty hands, as it has been freshly painted.",N
der,"Turnschuh, -e",Sneaker,Für den Sportunterricht in der Halle benötigt mein Sohn neue Turnschuhe mit heller Sohle.,My son needs new trainers with light-colored soles for his gym class.,N
,übel nehmen,take offense,"Bitte nehmen Sie es mir nicht übel, aber ich kann heute leider nicht länger bleiben.","Please don't take it the wrong way, but unfortunately I can't stay any longer today.",V
,überarbeiten,revise,"Der Bericht ist inhaltlich gut, aber wir müssen die Formatierung noch einmal überarbeiten.","The report is good in terms of content, but we need to revise the formatting.",V
der,"Überblick, -e",Overview,"Um den Überblick über meine Termine nicht zu verlieren, nutze ich einen digitalen Kalender.","To keep track of my appointments, I use a digital calendar.",N
,überflüssig,superfluous,Durch die neue Software sind viele manuelle Arbeitsschritte in der Verwaltung überflüssig geworden.,The new software has eliminated many manual administrative steps.,Adj
das,"Übergabeprotokoll, -e",Handover protocol,Bei der Wohnungsübergabe wurde ein detailliertes Übergabeprotokoll erstellt und von beiden Seiten unterschrieben.,A detailed handover protocol was drawn up and signed by both parties during the apartment handover.,N
der,"Übergang, -ä-e",Transition,Der Übergang von der Schule in den Beruf ist für viele junge Menschen eine große Herausforderung.,The transition from school to work is a major challenge for many young people.,N
,übergeben,hand over,Nach der Sitzung wurden die Protokolle an alle Teilnehmer zur Information übergeben.,"After the meeting, the minutes were handed out to all participants for their information.",V
,übergeordnet sein,be superior,In der Firmenhierarchie ist die Geschäftsleitung allen anderen Abteilungen übergeordnet.,"In the company hierarchy, the management is superior to all other departments.",Adv
,überlasten,overload,"Man sollte sich im Job nicht ständig überlasten, um ein Burn-out zu vermeiden.",You should avoid constantly overloading yourself at work to prevent burnout.,V
,übermitteln,transmit,Wir müssen die Daten sicher übermitteln.,We need to transmit the data securely.,V
die,"Überprüfung, -en",Review,Die Überprüfung der Unterlagen dauert noch an.,The review of the documents is still ongoing.,N
,übersehen,overlook,Ich habe diesen Fehler leider übersehen.,"Unfortunately, I overlooked this mistake.",V
die,"Übersicht, -en",Overview,Diese Tabelle bietet eine gute Übersicht.,This table provides a good overview.,N
,übersichtlich,clear,Die neue Website ist sehr übersichtlich gestaltet.,The new website is very clearly laid out.,Adj
,übersteigen,exceed,Die Kosten dürfen das Budget nicht übersteigen.,The costs must not exceed the budget.,V
die,"Überstunden, -",Overtime,Er macht diese Woche viele Überstunden.,He's working a lot of overtime this week.,N
die,"Übertragung, -en",Transmission,Die Übertragung des Spiels beginnt um 20 Uhr.,The broadcast of the game starts at 8 pm.,N
,übertreffen,surpass,Die Ergebnisse haben unsere Erwartungen übertroffen.,The results exceeded our expectations.,V
,überwachen,monitor,Die Kameras überwachen den Eingangsbereich.,The cameras monitor the entrance area.,V
,überwiegend,mostly,Unsere Kunden sind überwiegend junge Leute.,Our customers are predominantly young people.,Adj
,üblicherweise,usually,Üblicherweise fangen wir um 8 Uhr an.,We usually start at 8 a.m.,Adv
,umbauen,rebuild,Wir wollen unser altes Haus umbauen.,We want to renovate our old house.,V
,umfangreich,extensive,Das Projekt erfordert umfangreiche Vorbereitungen.,The project requires extensive preparation.,Adv
,umfassen,include,Das Angebot umfasst auch ein Frühstück.,The offer also includes breakfast.,V
,umfassend,comprehensive,Wir brauchen eine umfassende Analyse des Marktes.,We need a comprehensive market analysis.,Adj
das,"Umfeld, -er",Environment,Ein positives Arbeitsumfeld ist wichtig für die Motivation.,A positive work environment is important for motivation.,N
der,"Umgang, -ä-e",Handling,Der Umgang mit schwierigen Kunden erfordert Geduld.,Dealing with difficult customers requires patience.,N
die,"Umgangsform, -en",Manner,Gute Umgangsformen sind in diesem Beruf unerlässlich.,Good manners are essential in this profession.,N
,umgehend,immediately,Bitte antworten Sie umgehend auf diese E-Mail.,Please reply to this email immediately.,Adj
sich,sich umhören,listen,Ich werde mich mal nach einer neuen Wohnung umhören.,I'll start looking for a new apartment.,V
der,"Umsatz, -ä-e",Revenue,Der Umsatz ist im letzten Quartal gestiegen.,Sales increased in the last quarter.,N
die,"Umsatzsteuer, -n",Sales tax,Die Preise verstehen sich inklusive Umsatzsteuer.,Prices include VAT.,N
die,"Umsatzsteuervoranmeldung, -en",VAT return,Die Umsatzsteuervoranmeldung muss bis zum 10. eingereicht werden.,The preliminary VAT return must be submitted by the 10th.,N
,umschreiben,rewrite,Sie müssen diesen Absatz noch einmal umschreiben.,You need to rewrite this paragraph.,V
sich,sich umsehen,look around,Ich möchte mich in der Stadt etwas umsehen.,I'd like to have a look around the city.,V
die,"Umsetzung, -en",Implementation,Die Umsetzung des Plans wird einige Zeit in Anspruch nehmen.,Implementing the plan will take some time.,N
,umstellen,change,Wir müssen unsere Produktion auf umweltfreundliche Methoden umstellen.,We need to switch our production to environmentally friendly methods.,V
,umweltfreundlich,environmentally friendly,Wir nutzen nur umweltfreundliche Verpackungen.,We only use environmentally friendly packaging.,Adj
die,"Umweltpolitik, -",Environmental policy,Die Umweltpolitik der Regierung wird oft kritisiert.,The government's environmental policy is often criticized.,N
,unbefristet,indefinite,Er hat endlich einen unbefristeten Arbeitsvertrag bekommen.,He finally got a permanent employment contract.,Adj
,unerträglich,unbearable,Die Hitze im Büro war heute unerträglich.,The heat in the office was unbearable today.,Adj
der,"Unfallbericht, -e",Accident report,Der Unfallbericht muss von der Polizei ausgefüllt werden.,The accident report must be filled out by the police.,N
der,"Unfallhergang, -ä-e",Accident circumstances,Der genaue Unfallhergang ist noch unklar.,The exact circumstances of the accident are still unclear.,N
die,"Unfallmeldung, -en",Accident report,Die Unfallmeldung muss unverzüglich an die Versicherung geschickt werden.,The accident report must be sent to the insurance company immediately.,N
der/die,"Ungelernte, -n",Unskilled,Auch Ungelernte haben in diesem Betrieb gute Chancen.,Even unskilled workers have good opportunities in this company.,N
,ungeschrieben,unwritten,Es gibt hier einige ungeschriebene Regeln.,There are some unwritten rules here.,V
,ungewohnt,unusual,Diese neue Software ist für mich noch etwas ungewohnt.,This new software is still a bit unfamiliar to me.,Adj
die,"Unordnung, -",Disorder,In seinem Zimmer herrscht immer ein großes Chaos und Unordnung.,His room is always a complete mess and in a terrible state of chaos.,N
das,"Unrecht, -",Injustice,Du tust ihm damit wirklich Unrecht.,You're really doing him an injustice.,N
die,"Unterbrechung, -en",Interruption,Wir arbeiten seit drei Stunden ohne Unterbrechung.,We have been working for three hours without a break.,N
,unterdrücken,suppress,Er konnte ein Lachen kaum unterdrücken.,He could hardly suppress a laugh.,V
,untergeordnet sein,be subordinate,Diese Abteilung ist der Geschäftsführung direkt untergeordnet.,This department reports directly to the management.,Adv
,untergliedern,subdivide,Der Text lässt sich in drei Hauptteile untergliedern.,The text can be divided into three main parts.,V
,unterhalb,below,Die Temperatur lag unterhalb des Gefrierpunkts.,The temperature was below freezing.,Prep
das,"Unternehmen, -",Company,Unser Unternehmen expandiert in neue Märkte.,Our company is expanding into new markets.,N
die,"Unternehmensbesichtigung, -en",Company visit,Morgen findet eine Unternehmensbesichtigung für die neuen Azubis statt.,Tomorrow there will be a company visit for the new trainees.,N
der,"Unterrichtsmanager, -",Teaching manager,Der Unterrichtsmanager hilft Lehrern bei der Planung.,The lesson manager helps teachers with planning.,N
,untersagen,prohibit,Das Rauchen auf dem gesamten Gelände ist streng untersagt.,Smoking is strictly prohibited on the entire premises.,V
,unterteilen,subdivide,Man kann das Projekt in mehrere Phasen unterteilen.,The project can be divided into several phases.,V
die,"Unterweisung, -en",Instruction,Die Mitarbeiter erhalten eine jährliche Unterweisung zum Arbeitsschutz.,Employees receive annual training on occupational safety.,N
,unverzüglich,immediately,Bitte melden Sie den Schaden unverzüglich.,Please report the damage immediately.,Adj
der,"Urin, -",Urine,Für die Untersuchung wird eine Urinprobe benötigt.,A urine sample is required for the examination.,N
der/die,"Urlauber/in, -/-nen",Holidaymaker,Viele Urlauber verbringen ihre Ferien am Meer.,Many holidaymakers spend their vacation at the seaside.,N
der,"Urlaubsantrag, -ä-e",Vacation request,Ich habe meinen Urlaubsantrag bereits eingereicht.,I have already submitted my vacation request.,N
,variabel,variable,Die Kosten für dieses Projekt sind noch variabel.,The costs for this project are still variable.,Adv
,variieren,vary,Die Preise können je nach Saison variieren.,Prices may vary depending on the season.,V
die,"Verabschiedung, -en",Farewell,Zur Verabschiedung des Kollegen gab es eine kleine Feier.,A small celebration was held to bid farewell to the colleague.,N
,veralten,obsolescence,Diese Technologie wird bald veralten.,This technology will soon become obsolete.,V
die,"Veränderung, -en",Change,Wir stehen vor großen gesellschaftlichen Veränderungen.,We are facing major societal changes.,N
,veranstalten,organize,Die Firma veranstaltet jedes Jahr ein Sommerfest.,The company holds a summer party every year.,V
der/die,"Veranstalter/in, -/-nen",Organizer,Der Veranstalter haftet nicht für verlorene Gegenstände.,The organizer is not liable for lost items.,N
die,"Verantwortlichkeit, -en",Responsibility,Die Verantwortlichkeiten im Team müssen klar geregelt sein.,Responsibilities within the team must be clearly defined.,N
,verarbeiten,process,Diese Maschine kann große Mengen an Daten verarbeiten.,This machine can process large amounts of data.,V
,verärgert sein,be annoyed,Der Kunde war über die lange Wartezeit sehr verärgert.,The customer was very annoyed about the long waiting time.,Adv
der,"Verband, -ä-e",Association,Der Verband fordert bessere Arbeitsbedingungen.,The association is demanding better working conditions.,N
das,"Verbandmaterial, -",Bandage material,Im Erste-Hilfe-Kasten fehlt wichtiges Verbandmaterial.,The first-aid kit is missing essential bandages.,N
,verbergen,hide,"Er versuchte, seine Enttäuschung zu verbergen.",He tried to hide his disappointment.,V
,verbindlich,binding,Diese Anmeldung ist verbindlich.,This registration is binding.,Adj
das,"Verbotsschild, -er",Prohibition sign,"Haben Sie das Verbotsschild nicht gesehen""","Didn't you see the prohibition sign""",N
das,"Verbotszeichen, -",Prohibition signs,"Das Verbotszeichen weist darauf hin, dass hier nicht geparkt werden darf.",The prohibition sign indicates that parking is not allowed here.,N
die,"Verbreitung, -",Distribution,Die Verbreitung von Fake News ist ein großes Problem.,The spread of fake news is a major problem.,N
der,"Verbrennungsmotor, -en",Internal combustion engine,Der Verbrennungsmotor wird zunehmend durch Elektromotoren ersetzt.,The internal combustion engine is increasingly being replaced by electric motors.,N
,verdeutlichen,illustrate,Ich möchte diesen Punkt an einem Beispiel verdeutlichen.,I would like to illustrate this point with an example.,V
der,"Verdienst, -e",Earnings,Das ist allein ihr Verdienst.,That is entirely her achievement.,N
die,"Vereinbarung: Vereinbarungen treffen, -",Agreement: Making agreements,Wir müssen klare Vereinbarungen treffen.,We need to reach clear agreements.,N
,verfärbt,discolored,Das Hemd hat sich beim Waschen verfärbt.,The shirt changed color during washing.,Adj
,verfassen,write,Er muss einen Bericht über das Meeting verfassen.,He has to write a report about the meeting.,V
,verfügen über,have (Acc.),Das Hotel verfügt über einen großen Pool.,The hotel has a large pool.,Adv
die,"Vergabe, -n",Award,Die Vergabe der Aufträge erfolgt nach strengen Kriterien.,Contracts are awarded according to strict criteria.,N
,vergangen,past,In den vergangenen Wochen ist viel passiert.,A lot has happened in the past few weeks.,Adj
,vergeben,forgive,Die Stelle ist leider schon vergeben.,The position has unfortunately already been filled.,V
,vergiften,poison,Das Abwasser droht den Fluss zu vergiften.,The wastewater threatens to poison the river.,V
